Gün,RÜZGAR HIZI (KM/SAAT),Yağmur Olasılığı (%),Nem Seviyesi (%),Sıcaklık (C°)
271,10,39,4,17
272,12,1,36,40
273,1,86,69,36
274,55,31,93,20
275,15,93,22,22
276,21,48,15,-1
277,18,10,3,0
278,8,38,88,34
279,4,19,73,22
280,17,33,94,13
281,0,42,22,-3
282,41,64,35,36
283,22,14,73,3
284,40,81,57,31
285,52,55,94,26
286,60,32,30,-5
287,49,61,55,20
288,57,46,51,21
289,11,89,84,8
290,15,84,37,9
291,6,51,45,5
292,4,78,95,7
293,15,74,37,7
294,26,38,2,20
295,50,100,60,39
296,56,8,92,40
297,17,24,70,-10
298,40,31,16,-7
299,56,19,11,6
300,1,100,63,39
301,8,26,32,14
302,46,32,17,8
303,19,69,74,32
304,29,71,74,32
305,33,2,7,19
306,9,61,78,22
307,27,35,75,13
308,21,22,17,-5
309,4,9,59,-3
310,14,43,84,18
311,27,37,28,-8
312,29,54,21,28
313,17,12,88,29
314,12,100,84,40
315,34,44,10,-8
316,49,8,82,17
317,41,53,40,7
318,42,53,48,21
319,2,12,84,39
320,56,73,68,-9
321,38,22,39,7
322,2,25,13,8
323,4,23,95,36
324,48,69,12,20
325,18,54,93,17
326,44,35,59,31
327,29,27,47,30
328,20,97,58,14
329,7,52,38,-6
330,34,96,30,32
331,49,79,92,2
332,12,59,77,36
333,54,21,45,10
334,56,9,82,5
335,2,14,40,37
336,27,68,61,20
337,41,45,81,30
338,56,69,38,40
339,57,14,42,8
340,52,89,17,22
341,6,70,78,23
342,17,69,48,32
343,40,98,58,20
344,17,80,31,24
345,16,46,71,37
346,31,52,14,3
347,41,89,49,13
348,57,9,47,-7
349,35,62,33,-4
350,35,54,5,27
351,58,41,15,-2
352,53,80,48,22
353,16,59,43,9
354,53,52,4,6
355,37,63,8,3
356,3,8,38,26
357,33,56,10,26
358,38,3,20,7
359,33,56,96,-5
360,33,26,84,-1
361,5,21,2,-9
362,46,71,64,23
363,7,20,27,7
364,56,93,18,24
365,46,94,80,-7
